season,away_team,home_team,plus_minus_diff,netrtg_diff,pie_diff,winner
1999,DENVER NUGGETS,HOUSTON ROCKETS,8.9,9.8,8.1,1
1999,LOS ANGELES LAKERS,LOS ANGELES CLIPPERS,-11.8,-12.9,-12.5,0
1999,SEATTLE SUPERSONICS,MINNESOTA TIMBERWOLVES,1.5,1.4,0.3,1
1999,MILWAUKEE BUCKS,NEW YORK KNICKS,-0.7,-0.6,0.3,0
1999,SACRAMENTO KINGS,PORTLAND TRAIL BLAZERS,6.8,7,6.2,1
1999,CLEVELAND CAVALIERS,UTAH JAZZ,8.2,9.3,9.8,1
1999,NEW JERSEY NETS,INDIANA PACERS,7.5,8.5,6,1
1999,LOS ANGELES CLIPPERS,LOS ANGELES LAKERS,11.8,12.9,12.5,1
1999,ATLANTA HAWKS,MIAMI HEAT,2.1,2.7,3.5,1
1999,SEATTLE SUPERSONICS,MILWAUKEE BUCKS,2.8,2.7,2.2,1
1999,CHARLOTTE HORNETS,PHILADELPHIA 76ERS,2.2,2.4,0.7,1
1999,CLEVELAND CAVALIERS,PHOENIX SUNS,4,4.1,3.6,0
1999,ORLANDO MAGIC,SAN ANTONIO SPURS,5.5,6.5,6.3,1
1999,DETROIT PISTONS,WASHINGTON WIZARDS,-5.6,-6.3,-3.9,1
1999,BOSTON CELTICS,ATLANTA HAWKS,4.8,5.2,5.2,1
1999,SEATTLE SUPERSONICS,CHICAGO BULLS,-8.4,-9.5,-7,0
1999,ORLANDO MAGIC,DALLAS MAVERICKS,-5,-5.3,-4.5,1
1999,MINNESOTA TIMBERWOLVES,GOLDEN STATE WARRIORS,-2.9,-3.4,-2.7,1
1999,VANCOUVER GRIZZLIES,HOUSTON ROCKETS,11,11.8,9.6,1
1999,SACRAMENTO KINGS,LOS ANGELES CLIPPERS,-8.4,-9.2,-9.2,1
1999,TORONTO RAPTORS,MIAMI HEAT,6.6,7.7,7.1,1
1999,WASHINGTON WIZARDS,NEW YORK KNICKS,3.2,3.5,3.9,1
1999,DENVER NUGGETS,UTAH JAZZ,13.1,14.7,14.9,1
1999,NEW YORK KNICKS,CHICAGO BULLS,-10.5,-11.6,-9.5,1
